file_type,file_path,preview_detected,status,screenshot
PNG,C:\Users\User\Downloads\test_automation_ui\sample.png,TRUE,PASS,C:\Users\User\Downloads\test_automation_ui\results\preview_pass.png
PNG,C:\Users\User\Downloads\test_automation_ui\sample.png,TRUE,PASS,C:\Users\User\Downloads\test_automation_ui\results\preview_pass.png
PNG,C:\Users\User\Downloads\test_automation_ui\sample.png,TRUE,PASS,C:\Users\User\Downloads\test_automation_ui\results\preview_pass.png
